id;student_card_number;name;surname;telephone_number;study_year;faculty;field_of_study
1;60956;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;24205;Bulgarian Lev navigate;Re-contextualized
2;80313;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;neural-net red;Buckinghamshire Future-proofed deposit
3;17436;Yen synthesize Creative;Forint;Concrete Global SMS;25794;deposit;Designer Borders content-based
4;99625;Agent;Human deposit;even-keeled Saint Helena Pound;84666;SCSI drive THX;Unbranded Cheese Dynamic
5;60642;Tools Unbranded;Supervisor clear-thinking;Latvia;69189;invoice Devolved;Computers Bedfordshire Fish
6;36646;program alarm;Nevada;Berkshire;63633;Ergonomic;Strategist target
7;89204;withdrawal cross-platform Borders;Libyan Dinar CSS;sensor;28077;Shoes deposit;Representative
8;46994;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;19091;eco-centric Bedfordshire mesh;Configuration UIC-Franc
9;57006;Intelligent;Zambian Kwacha intuitive;Bedfordshire;87737;program;Metal array France
10;29651;schemas Synergistic Personal Loan Account;Avon;Auto Loan Account olive;7094;extend Unbranded Fresh Pants Tools;Practical North Dakota
